date,unit_id,listing,listing_group,season,month,dow,ati_static,pricelabs,gap_dollars,gap_abs
2027-06-03,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Thursday,1500,2594.0,-1094.0,1094.0
2027-05-27,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,5,Thursday,1025,2113.0,-1088.0,1088.0
2027-04-25,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,4,Sunday,1025,2106.0,-1081.0,1081.0
2027-04-25,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,4,Sunday,1025,2106.0,-1081.0,1081.0
2027-06-27,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Sunday,1500,2580.0,-1080.0,1080.0
2027-09-18,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2168.0,-1068.0,1068.0
2027-09-18,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Fall Peak,9,Saturday,1100,2168.0,-1068.0,1068.0
2027-05-09,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Sunday,1500,2568.0,-1068.0,1068.0
2027-05-16,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Sunday,1500,2568.0,-1068.0,1068.0
2027-06-26,501 LaFave North: Cathedral Mountain,Cathedral Mountain,Premier Villa (3BR/3BA),Spring Peak,6,Saturday,1025,2089.0,-1064.0,1064.0
2027-06-26,510 LaFave North: Virgin River,Virgin River,Premier Villa (3BR/3BA),Spring Peak,6,Saturday,1025,2089.0,-1064.0,1064.0
2027-06-01,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Tuesday,1500,2552.0,-1052.0,1052.0
2027-11-27,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Shoulder,11,Saturday,825,1870.0,-1045.0,1045.0
2027-11-27,211 LaFave South: The Narrows,The Narrows,Premier Villa (3BR/3BA),Shoulder,11,Saturday,825,1870.0,-1045.0,1045.0
2027-06-30,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Wednesday,1500,2540.0,-1040.0,1040.0
2027-03-20,200 LaFave South: Angels Landing,Angels Landing,Premier Villa (3BR/3BA),Spring Peak,3,Saturday,1025,2060.0,-1035.0,1035.0
2027-06-26,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,6,Saturday,925,1960.0,-1035.0,1035.0
2027-04-03,503 LaFave North: Johnson Mountain,Johnson Mountain,J.MT. Villa (3BR/2BA),Spring Peak,4,Saturday,925,1959.0,-1034.0,1034.0
2027-04-21,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,4,Wednesday,1500,2532.0,-1032.0,1032.0
2027-06-02,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,6,Wednesday,1500,2524.0,-1024.0,1024.0
2027-04-24,210 LaFave South: The Subway,The Subway,Villa Game (2BR/2BA),Spring Peak,4,Saturday,800,1822.0,-1022.0,1022.0
2027-05-05,302 LaFave South: The Gallery House,The Gallery House,House (6BR/4BA),Spring Peak,5,Wednesday,1500,2522.0,-1022.0,1022.0
